,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq
15264,63cd839d58c4334a66b044b0,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.69,0.69,23.0,2.0,3.0,5.0,te,te,1.0,0.0,{},1674412957032.0,1674412957032.0,771.0,771.0,0.323,0.448,1674412829191.0,1674412957803.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",3,3,1.0,0.224,0.547,3
15265,63cd839f58c4334a66b044b1,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.72,0.72,24.0,3.0,4.0,5.0,si,si,1.0,0.0,{},1674412958809.0,1674412958809.0,920.0,920.0,0.265,0.655,1674412829191.0,1674412959729.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",4,4,1.0,0.3275,0.5925,2
15268,63cd83a258c4334a66b044b5,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.75,0.75,25.0,4.0,5.0,5.0,hu,hu,1.0,0.0,{},1674412960735.0,1674412960735.0,1614.0,1614.0,0.325,1.289,1674412829191.0,1674412962349.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5,5,1.0,0.6445,0.9695,1
15270,63cd83a558c4334a66b044b9,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.78,0.78,26.0,5.0,6.0,5.0,hu-ko,huko,1.0,0.0,{},1674412963351.0,1674412963351.0,1853.0,1853.0,0.682,1.171,1674412829191.0,1674412965204.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",5-1,5-1,2.0,0.29275,0.97475,0
15271,63cd83a758c4334a66b044ba,run1,quiz,False,195.0,,,,195.0,63cc988c2a276a3b63c222e6,63cd82d3d1db04dd3a8b1a7e,$0.12,0.12,4.0,0.0,2.0,5.0,na,na,1.0,0.0,{},1674412965462.0,1674412965462.0,3119.0,3119.0,2.111,1.008,1674412935900.0,1674412968581.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'se': 4.0, 'ki': 1.0, 'na': 2.0, 'to': 3.0, 'hu': 5.0}",2,2,1.0,0.504,2.615,0
15277,63cd83b458c4334a66b044c2,run1,quiz,False,194.0,,,,194.0,63cc988c2a276a3b63c222e6,63cd82c14591a1ba4aae1fd5,$0.32,0.32,13.0,1.0,4.0,5.0,te,te,1.0,0.0,{},1674412978330.0,1674412978330.0,2359.0,2359.0,1.754,0.605,1674412833937.0,1674412980689.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'te': 4.0, 'na': 1.0, 'ki': 5.0, 'hu': 2.0, 'so': 3.0}",4,4,1.0,0.3025,2.0564999999999998,2
15278,63cd83b458c4334a66b044c3,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.84,0.84,28.0,0.0,1.0,5.0,ko,ko,1.0,0.0,{},1674412979896.0,1674412979896.0,1076.0,1076.0,0.38,0.696,1674412829191.0,1674412980972.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",1,1,1.0,0.348,0.728,5
15279,63cd83b658c4334a66b044c4,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.87,0.87,29.0,1.0,2.0,5.0,na,na,1.0,0.0,{},1674412981975.0,1674412981975.0,1034.0,1034.0,0.348,0.686,1674412829191.0,1674412983009.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",2,2,1.0,0.343,0.6910000000000001,5
15280,63cd83b858c4334a66b044c6,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.9,0.9,30.0,2.0,3.0,5.0,te,te,1.0,0.0,{},1674412984015.0,1674412984015.0,1075.0,1075.0,0.443,0.632,1674412829191.0,1674412985090.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",3,3,1.0,0.316,0.759,4
15282,63cd83ba58c4334a66b044c8,run1,quiz,False,193.0,,,,193.0,63cc988c2a276a3b63c222e6,63cd82d586100bcee1422586,$0.93,0.93,31.0,3.0,4.0,5.0,si,si,1.0,0.0,{},1674412986096.0,1674412986096.0,970.0,970.0,0.299,0.671,1674412829191.0,1674412987066.0,,,,,,,,2,control,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,0.0,1.0,1.0,"{'ko': 1.0, 'na': 2.0, 'te': 3.0, 'si': 4.0, 'hu': 5.0}",4,4,1.0,0.3355,0.6345000000000001,3
