,Unnamed: 0,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq,elapsedTime,delay,addcount,multcount,rulecount,ppd,dpp
280,353,61e0518eaa09f84b60e4b286,run1,quiz,False,6.0,,,,6.0,61df8999cc7c1c6984f5f11d,61e0502413f7285ab3af7ba5,$0.81,81.0,27.0,7.0,7.0,5.0,ta-ne,tane,1.0,0.0,{},1642090887318.0,1642090887318.0,7426.0,7426.0,2.944,4.482,1642090662014.0,1642090894744.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ho': 1.0, 'ne': 2.0, 'ki': 3.0, 'su': 4.0, 'ta': 5.0}",5-2,5-2,2.0,1.1205,4.0645,0,232730.0,,3.0,3.0,3.0,,
314,389,61e051a6aa09f84b60e4b2c8,run1,quiz,False,4.0,,,,4.0,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.78,78.0,26.0,6.0,6.0,4.0,ko-he,kohe,1.0,0.0,{},1642090908823.0,1642090908823.0,8163.0,8163.0,3.741,4.422,1642090636188.0,1642090916986.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'nu': 1.0, 'he': 2.0, 'sa': 3.0, 'ko': 4.0}",4-2,4-2,2.0,1.1055,4.8465,1,280798.0,6.0,5.0,5.0,5.0,0.16666666666666666,3.0
316,391,61e051a6aa09f84b60e4b2ca,run1,quiz,False,5.0,,,,5.0,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$1.24,124.0,42.0,7.0,7.0,5.0,ku-to,kuto,1.0,0.0,{},1642090914871.0,1642090914871.0,2432.0,2432.0,1.048,1.384,1642090626149.0,1642090917303.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ne': 1.0, 'to': 2.0, 'ha': 3.0, 'si': 4.0, 'ku': 5.0}",5-2,5-2,2.0,0.346,1.394,2,291154.0,8.0,8.0,8.0,8.0,0.25,2.6666666666666665
321,399,61e051acaa09f84b60e4b2d9,run1,quiz,False,7.0,,,,7.0,61df8999cc7c1c6984f5f11d,61e05034d9819c68472fe83d,$0.78,78.0,27.0,7.0,7.0,5.0,he-ka,heka,1.0,0.0,{},1642090922156.0,1642090922156.0,2874.0,2874.0,1.427,1.447,1642090690306.0,1642090925030.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 1.0, 'ka': 2.0, 'su': 3.0, 'ti': 4.0, 'he': 5.0}",5-2,5-2,2.0,0.36175,1.78875,0,234724.0,,3.0,3.0,3.0,,
325,405,61e051b1aa09f84b60e4b2e4,run1,quiz,False,6.0,,,,6.0,61df8999cc7c1c6984f5f11d,61e0502413f7285ab3af7ba5,$1.02,102.0,34.0,7.0,7.0,5.0,ta-ne,tane,1.0,0.0,{},1642090923496.0,1642090923496.0,5470.0,5470.0,1.149,4.321,1642090662014.0,1642090928966.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ho': 1.0, 'ne': 2.0, 'ki': 3.0, 'su': 4.0, 'ta': 5.0}",5-2,5-2,2.0,1.08025,2.22925,1,266952.0,7.0,5.0,5.0,5.0,0.14285714285714285,3.5
348,432,61e051c4aa09f84b60e4b316,run1,quiz,False,8.0,,,,8.0,61df8999cc7c1c6984f5f11d,61e0503662209e1bd2040d38,$0.6,60.0,20.0,6.0,6.0,4.0,tu-ke,tuke,1.0,0.0,{},1642090932095.0,1642090932095.0,13274.0,13274.0,4.91,,1642090807617.0,1642090945369.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'sa': 1.0, 'ke': 2.0, 'ho': 3.0, 'tu': 4.0}",4-2,4-2,2.0,,,0,137752.0,,3.0,3.0,3.0,,
358,442,61e051caaa09f84b60e4b326,run1,quiz,False,7.0,,,,7.0,61df8999cc7c1c6984f5f11d,61e05034d9819c68472fe83d,$0.99,99.0,34.0,7.0,7.0,5.0,he-ka,heka,1.0,0.0,{},1642090950989.0,1642090950989.0,4123.0,4123.0,2.721,1.402,1642090690306.0,1642090955112.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 1.0, 'ka': 2.0, 'su': 3.0, 'ti': 4.0, 'he': 5.0}",5-2,5-2,2.0,0.3505,3.0715,1,264806.0,7.0,5.0,5.0,5.0,0.14285714285714285,3.5
364,449,61e051ceaa09f84b60e4b333,run1,quiz,False,5.0,,,,5.0,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$1.51,151.0,51.0,7.0,7.0,5.0,ku-to,kuto,1.0,0.0,{},1642090953879.0,1642090953879.0,3078.0,3078.0,0.733,2.345,1642090626149.0,1642090956957.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ne': 1.0, 'to': 2.0, 'ha': 3.0, 'si': 4.0, 'ku': 5.0}",5-2,5-2,2.0,0.58625,1.31925,3,330808.0,9.0,12.0,12.0,12.0,0.3333333333333333,2.25
391,483,61e051e4aa09f84b60e4b376,run1,quiz,False,4.0,,,,4.0,61df8999cc7c1c6984f5f11d,61e0502c337b071611866160,$0.99,99.0,33.0,6.0,6.0,4.0,ko-he,kohe,1.0,0.0,{},1642090972855.0,1642090972855.0,6299.0,6299.0,2.144,4.155,1642090636188.0,1642090979154.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'nu': 1.0, 'he': 2.0, 'sa': 3.0, 'ko': 4.0}",4-2,4-2,2.0,1.03875,3.1827500000000004,2,342966.0,7.0,8.0,8.0,8.0,0.2857142857142857,2.3333333333333335
395,488,61e051e7aa09f84b60e4b37e,run1,quiz,False,5.0,,,,5.0,61df8999cc7c1c6984f5f11d,61e0503a92a79e2ccaa7c81c,$1.6,160.0,54.0,0.0,10.0,5.0,to-ku,toku,1.0,0.0,{},1642090977897.0,1642090977897.0,3630.0,3630.0,2.395,1.235,1642090626149.0,1642090981527.0,,,,,,,,1,,,,,,,,,,True,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'ne': 1.0, 'to': 2.0, 'ha': 3.0, 'si': 4.0, 'ku': 5.0}",2-5,2-5,2.0,0.30875,2.70375,0,355378.0,,14.0,14.0,14.0,,
