,Unnamed: 0,_id,iterationName,phase,finalCount,GID,workerID,assignmentID,hitID,prolificID,studyID,sessionID,score,totalScore,trial,sectionTrial,num,base,targ,resp,correct,take,distractions,trialStartTime,takeStartTime,trialTime,takeTime,RT,WT,initTime,endTime,gender,age,comments,understood,totalLength,strategy,strategy_other,expt,cond,targetWord,targetNum,responseSide,responseNumber,responseWord,otherNumber,otherWord,missed,syntax,count,duplicate,failedGame,nonsenseGame,failedOutlier,distracted,distractedGame,manualExclude,incomplete,generalized,prim,add,mult,exp,feature_sum,maxrule,lexicon,gloss,targ_gloss,numSyls,normedWT,CT,freq,elapsedTime,delay,ppd,dpp
1508,18973,63cd99b658c4334a66b05b63,run1,quiz,True,220.0,,,,220.0,63cc988c2a276a3b63c222e6,63cd95bcb254cb0c61635f63,$1.83,1.83,61.0,6.0,7.0,5.0,so-he,sohe,1.0,0.0,{},1674418565738.0,1674418565738.0,3407.0,3407.0,0.549,2.858,1674418016155.0,1674418569145.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'he-so': 1.0, 'nu': 2.0, 'so': 3.0, 'so-ti': 4.0, 'ka': 5.0, 'so-nu': 6.0, 'so-he': 7.0, 'ti': 8.0, 'he': 9.0, 'so-ka': 10.0}",7,3-9,2.0,0.7145,1.2635,3,552990.0,9.0,0.3333333333333333,2.25
1511,18976,63cd99c258c4334a66b05b66,run1,quiz,True,220.0,,,,220.0,63cc988c2a276a3b63c222e6,63cd95bcb254cb0c61635f63,$1.92,1.92,64.0,0.0,10.0,5.0,so-ka,soka,1.0,0.0,{},1674418577418.0,1674418577418.0,2806.0,2806.0,0.171,2.635,1674418016155.0,1674418580224.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'he-so': 1.0, 'nu': 2.0, 'so': 3.0, 'so-ti': 4.0, 'ka': 5.0, 'so-nu': 6.0, 'so-he': 7.0, 'ti': 8.0, 'he': 9.0, 'so-ka': 10.0}",10,3-5,2.0,0.65875,0.82975,0,564069.0,,,
1537,19132,63cd9fa358c4334a66b05c89,run1,quiz,False,221.0,,,,221.0,63cc988c2a276a3b63c222e6,63cd9e6336f4e5485c0f9bd2,$0.84,0.84,34.0,6.0,7.0,5.0,hi,hi,1.0,0.0,{},1674420129929.0,1674420129929.0,588.0,588.0,0.195,0.393,1674419926203.0,1674420130517.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 1.0, 'te-no': 2.0, 'te-sa': 3.0, 'te': 4.0, 'sa-te': 5.0, 'te-ku': 6.0, 'hi': 7.0, 'sa': 8.0, 'te-hi': 9.0, 'ku': 10.0}",7,7,1.0,0.1965,0.3915,0,204314.0,,,
1544,19141,63cd9fb758c4334a66b05c96,run1,quiz,False,221.0,,,,221.0,63cc988c2a276a3b63c222e6,63cd9e6336f4e5485c0f9bd2,$1.08,1.08,42.0,6.0,7.0,5.0,hi,hi,1.0,0.0,{},1674420149095.0,1674420149095.0,799.0,799.0,0.407,0.392,1674419926203.0,1674420149894.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 1.0, 'te-no': 2.0, 'te-sa': 3.0, 'te': 4.0, 'sa-te': 5.0, 'te-ku': 6.0, 'hi': 7.0, 'sa': 8.0, 'te-hi': 9.0, 'ku': 10.0}",7,7,1.0,0.196,0.603,1,223691.0,7.0,0.14285714285714285,3.5
1552,19151,63cd9fce58c4334a66b05ca1,run1,quiz,False,221.0,,,,221.0,63cc988c2a276a3b63c222e6,63cd9e6336f4e5485c0f9bd2,$1.35,1.35,51.0,6.0,7.0,5.0,hi,hi,1.0,0.0,{},1674420173119.0,1674420173119.0,697.0,697.0,0.296,0.401,1674419926203.0,1674420173816.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 1.0, 'te-no': 2.0, 'te-sa': 3.0, 'te': 4.0, 'sa-te': 5.0, 'te-ku': 6.0, 'hi': 7.0, 'sa': 8.0, 'te-hi': 9.0, 'ku': 10.0}",7,7,1.0,0.2005,0.4965,2,247613.0,8.0,0.25,2.6666666666666665
1561,19164,63cd9ff358c4334a66b05cae,run1,quiz,True,221.0,,,,221.0,63cc988c2a276a3b63c222e6,63cd9e6336f4e5485c0f9bd2,$1.62,1.62,61.0,6.0,7.0,5.0,hi,hi,1.0,0.0,{},1674420209345.0,1674420209345.0,658.0,658.0,0.344,0.314,1674419926203.0,1674420210003.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 1.0, 'te-no': 2.0, 'te-sa': 3.0, 'te': 4.0, 'sa-te': 5.0, 'te-ku': 6.0, 'hi': 7.0, 'sa': 8.0, 'te-hi': 9.0, 'ku': 10.0}",7,7,1.0,0.157,0.501,3,283800.0,9.0,0.3333333333333333,2.25
1564,19169,63cd9ffd58c4334a66b05cb3,run1,quiz,True,221.0,,,,221.0,63cc988c2a276a3b63c222e6,63cd9e6336f4e5485c0f9bd2,$1.69,1.69,64.0,0.0,10.0,5.0,ku,ku,1.0,0.0,{},1674420219128.0,1674420219128.0,1115.0,1115.0,0.626,0.489,1674419926203.0,1674420220243.0,,,,,,,,2,no_syntax,,,,,,,,,False,True,False,False,False,False,False,False,False,False,True,0.0,0.0,1.0,0.0,1.0,3.0,"{'no': 1.0, 'te-no': 2.0, 'te-sa': 3.0, 'te': 4.0, 'sa-te': 5.0, 'te-ku': 6.0, 'hi': 7.0, 'sa': 8.0, 'te-hi': 9.0, 'ku': 10.0}",10,10,1.0,0.2445,0.8705,0,294040.0,,,
1586,19294,63cda4e158c4334a66b05d58,run1,quiz,False,224.0,,,,224.0,63cc988c2a276a3b63c222e6,63cda43a4f2cca03682c8a94,$0.21,0.21,7.0,0.0,7.0,5.0,ni-su,nisu,1.0,0.0,{},1674421471147.0,1674421471147.0,3802.0,3802.0,1.792,2.01,1674421399224.0,1674421474949.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ho': 1.0, 'su': 2.0, 'ta': 4.0, 'ni': 5.0, 'ke': 3.0}",5-2,5-2,2.0,0.5025,2.2945,0,75725.0,,,
1607,19346,63cda50358c4334a66b05da6,run1,quiz,False,224.0,,,,224.0,63cc988c2a276a3b63c222e6,63cda43a4f2cca03682c8a94,$0.36,0.36,12.0,2.0,7.0,5.0,ni-su,nisu,1.0,0.0,{},1674421504507.0,1674421504507.0,4717.0,4717.0,2.065,2.652,1674421399224.0,1674421509224.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'ho': 1.0, 'su': 2.0, 'ta': 4.0, 'ni': 5.0, 'ke': 3.0}",5-2,5-2,2.0,0.663,2.728,1,110000.0,3.0,0.3333333333333333,1.5
1610,19350,63cda50558c4334a66b05dac,run1,quiz,False,226.0,,,,226.0,63cc988c2a276a3b63c222e6,63cda43909462933aeebf989,$0.39,0.39,14.0,0.0,7.0,5.0,ke-tu,keno,0.0,0.0,{},1674421504967.0,1674421504967.0,4364.0,4364.0,1.019,3.345,1674421409986.0,1674421509331.0,,,,,,,,2,no_count,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,0.0,1.0,0.0,0.0,1.0,2.0,"{'no': 4.0, 'ha': 1.0, 'si': 3.0, 'ke': 5.0, 'tu': 2.0}",5-4,5-2,2.0,0.83625,1.85525,0,99345.0,,,
